time_recorded,lat,lon,total_gps_pings,n_buses,busy_index
07:20:00,32.092,34.865,12,3,0.4
07:20:00,32.092,34.866,50,11,0.4
07:20:00,32.092,34.867,13,3,0.4
07:20:00,32.094,34.883,8,2,0.4
07:20:00,32.095,34.886,16,3,0.5
07:20:00,32.117,34.977,7,2,0.3
07:30:00,31.799,35.213,6,2,0.3
07:30:00,31.893,34.807,6,2,0.3
07:30:00,31.917,35.08,13,2,0.6
07:30:00,32.002,34.752,9,2,0.4
07:30:00,32.056,34.78,11,2,0.5
07:30:00,32.058,34.835,15,3,0.5
07:30:00,32.059,34.835,15,2,0.7
07:30:00,32.06,34.845,8,2,0.4
07:30:00,32.061,34.846,8,2,0.4
07:30:00,32.069,34.839,10,2,0.5
07:30:00,32.083,34.806,8,2,0.4
07:30:00,32.084,34.815,10,3,0.3
07:30:00,32.086,34.835,11,2,0.5
07:30:00,32.087,34.806,15,2,0.7
07:30:00,32.09,34.811,8,2,0.4
07:30:00,32.09,34.826,7,2,0.3
07:30:00,32.091,34.825,6,2,0.3
07:30:00,32.091,34.869,7,2,0.3
07:30:00,32.092,34.833,20,2,1.0
07:30:00,32.092,34.847,9,3,0.3
07:30:00,32.092,34.862,9,3,0.3
07:30:00,32.092,34.863,39,10,0.3
07:30:00,32.092,34.864,17,4,0.4
07:30:00,32.092,34.865,16,3,0.5
07:30:00,32.092,34.866,47,11,0.4
07:30:00,32.095,34.886,20,5,0.4
07:30:00,32.095,34.887,15,4,0.3
07:30:00,32.096,34.837,13,3,0.4
07:30:00,32.096,34.89,6,2,0.3
07:30:00,32.098,34.836,10,2,0.5
07:30:00,32.099,34.825,7,2,0.3
07:30:00,32.124,34.858,9,3,0.3
07:30:00,32.174,34.915,10,2,0.5
07:40:00,31.89,34.732,11,3,0.3
07:40:00,31.893,34.807,6,2,0.3
07:40:00,31.917,35.08,12,2,0.6
07:40:00,32.003,34.801,6,2,0.3
07:40:00,32.046,34.815,6,2,0.3
07:40:00,32.055,34.769,7,2,0.3
07:40:00,32.056,34.847,6,2,0.3
07:40:00,32.058,34.835,6,2,0.3
07:40:00,32.063,34.828,14,2,0.7
07:40:00,32.066,34.764,10,3,0.3
07:40:00,32.068,34.766,6,2,0.3
07:40:00,32.069,34.839,11,2,0.5
07:40:00,32.07,34.913,9,2,0.4
07:40:00,32.072,34.79,6,2,0.3
07:40:00,32.074,34.79,10,3,0.3
07:40:00,32.074,34.825,7,2,0.3
07:40:00,32.077,34.834,7,2,0.3
07:40:00,32.079,34.814,19,3,0.6
07:40:00,32.083,34.796,6,2,0.3
07:40:00,32.083,34.805,33,6,0.5
07:40:00,32.083,34.826,6,2,0.3
07:40:00,32.083,34.903,6,2,0.3
07:40:00,32.084,34.788,13,3,0.4
07:40:00,32.084,34.806,13,3,0.4
07:40:00,32.084,34.807,31,9,0.3
07:40:00,32.084,34.809,12,2,0.6
07:40:00,32.084,34.815,6,2,0.3
07:40:00,32.085,34.878,6,2,0.3
07:40:00,32.088,34.893,9,3,0.3
07:40:00,32.088,34.894,11,3,0.3
07:40:00,32.089,34.869,6,2,0.3
07:40:00,32.089,34.896,9,2,0.4
07:40:00,32.09,34.821,7,2,0.3
07:40:00,32.09,34.88,6,2,0.3
07:40:00,32.091,34.867,6,2,0.3
07:40:00,32.091,34.87,15,4,0.3
07:40:00,32.092,34.863,31,9,0.3
07:40:00,32.092,34.864,35,6,0.5
07:40:00,32.092,34.865,11,2,0.5
07:40:00,32.092,34.866,35,7,0.5
07:40:00,32.092,34.894,7,2,0.3
07:40:00,32.094,34.882,8,2,0.4
07:40:00,32.094,34.884,8,2,0.4
07:40:00,32.095,34.886,24,6,0.4
07:40:00,32.095,34.888,6,2,0.3
07:40:00,32.095,34.889,9,2,0.4
07:40:00,32.096,34.89,6,2,0.3
07:40:00,32.114,34.79,6,2,0.3
07:40:00,32.174,34.915,12,3,0.4
07:40:00,32.179,34.935,6,2,0.3
07:50:00,31.999,34.763,10,2,0.5
07:50:00,32.027,34.748,10,2,0.5
07:50:00,32.048,34.954,15,2,0.7
07:50:00,32.055,34.835,6,2,0.3
07:50:00,32.057,34.834,8,2,0.4
07:50:00,32.057,34.847,7,2,0.3
